,block #,set size,overall stimulus id,image folder,image number,in block stim #,correct action #,correct key#,2/1 correct FB proba,CorrectFB value
0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
1,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
2,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
3,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
4,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
5,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
6,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
7,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
8,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
9,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
10,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
11,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
12,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,2.0
13,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
14,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
15,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,1.0
16,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
17,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,2.0
18,1.0,2.0,2.0,7.0,2.0,2.0,3.0,15.0,0.2,2.0
19,1.0,2.0,1.0,7.0,5.0,1.0,2.0,13.0,0.5,1.0
20,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
21,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
22,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
23,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,2.0
24,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
25,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
26,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
27,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,1.0
28,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
29,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
30,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,1.0
31,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,2.0
32,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
33,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
34,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
35,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
36,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
37,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
38,2.0,2.0,3.0,17.0,5.0,1.0,1.0,14.0,0.8,2.0
39,2.0,2.0,4.0,17.0,3.0,2.0,2.0,13.0,0.2,1.0
40,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
41,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
42,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
43,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
44,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
45,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
46,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
47,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
48,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
49,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,2.0
50,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
51,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
52,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
53,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
54,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
55,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
56,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
57,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,1.0
58,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
59,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
60,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
61,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
62,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
63,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
64,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,2.0
65,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,2.0
66,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,1.0
67,3.0,3.0,7.0,5.0,3.0,3.0,2.0,13.0,0.8,2.0
68,3.0,3.0,5.0,5.0,5.0,1.0,1.0,14.0,0.5,1.0
69,3.0,3.0,6.0,5.0,2.0,2.0,1.0,14.0,0.2,1.0
70,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
71,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
72,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,2.0
73,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
74,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
75,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,1.0
76,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
77,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
78,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
79,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
80,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
81,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
82,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
83,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
84,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
85,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
86,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,2.0
87,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,2.0
88,4.0,2.0,9.0,18.0,1.0,2.0,3.0,15.0,0.8,1.0
89,4.0,2.0,8.0,18.0,2.0,1.0,1.0,14.0,0.2,1.0
90,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
91,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
92,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
93,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
94,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
95,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
96,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
97,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
98,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
99,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
100,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,1.0
101,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
102,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
103,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
104,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
105,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
106,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
107,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
108,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
109,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,2.0
110,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
111,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,1.0
112,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
113,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
114,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,2.0
115,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
116,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
117,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,2.0
118,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
119,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
120,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
121,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
122,5.0,5.0,11.0,13.0,2.0,2.0,1.0,14.0,0.8,1.0
123,5.0,5.0,14.0,13.0,3.0,5.0,2.0,13.0,0.2,1.0
124,5.0,5.0,12.0,13.0,5.0,3.0,1.0,14.0,0.2,1.0
125,5.0,5.0,10.0,13.0,1.0,1.0,1.0,14.0,0.8,2.0
126,5.0,5.0,13.0,13.0,6.0,4.0,2.0,13.0,0.5,1.0
