,block #,set size,overall stimulus id,image folder,image number,in block stim #,correct action #,correct key#,2/1 correct FB proba,CorrectFB value
0,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
1,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
2,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
3,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
4,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,1.0
5,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
6,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,1.0
7,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,1.0
8,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,2.0
9,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
10,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
11,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,1.0
12,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,2.0
13,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,2.0
14,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,2.0
15,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
16,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
17,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
18,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,2.0
19,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
20,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,1.0
21,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,2.0
22,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,1.0
23,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
24,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
25,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,2.0
26,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
27,1.0,3.0,2.0,9.0,2.0,2.0,1.0,15.0,0.8,2.0
28,1.0,3.0,1.0,9.0,4.0,1.0,1.0,15.0,0.2,1.0
29,1.0,3.0,3.0,9.0,1.0,3.0,2.0,13.0,0.5,1.0
30,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
31,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
32,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
33,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
34,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
35,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
36,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,2.0
37,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
38,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
39,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
40,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
41,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
42,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
43,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
44,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
45,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,1.0
46,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,1.0
47,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,2.0
48,2.0,2.0,4.0,12.0,5.0,1.0,1.0,15.0,0.2,2.0
49,2.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,0.8,1.0
50,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,2.0
51,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
52,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,1.0
53,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,1.0
54,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
55,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
56,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,2.0
57,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,1.0
58,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
59,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
60,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,2.0
61,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
62,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
63,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
64,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,1.0
65,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,1.0
66,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
67,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
68,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
69,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
70,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,2.0
71,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
72,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
73,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,2.0
74,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
75,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
76,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,1.0
77,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
78,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,1.0
79,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,1.0
80,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
81,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
82,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,2.0
83,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,1.0
84,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
85,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
86,3.0,4.0,6.0,6.0,6.0,1.0,1.0,15.0,0.8,2.0
87,3.0,4.0,8.0,6.0,5.0,3.0,3.0,14.0,0.2,1.0
88,3.0,4.0,9.0,6.0,1.0,4.0,3.0,14.0,0.5,2.0
89,3.0,4.0,7.0,6.0,4.0,2.0,1.0,15.0,0.8,2.0
90,4.0,5.0,11.0,5.0,2.0,2.0,1.0,15.0,0.8,2.0
91,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,1.0
92,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,2.0
93,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,2.0
94,4.0,5.0,12.0,5.0,1.0,3.0,1.0,15.0,0.5,1.0
95,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
96,4.0,5.0,11.0,5.0,2.0,2.0,1.0,15.0,0.8,2.0
97,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
98,4.0,5.0,11.0,5.0,2.0,2.0,1.0,15.0,0.8,2.0
99,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,2.0
100,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,1.0
101,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,2.0
102,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,1.0
103,4.0,5.0,12.0,5.0,1.0,3.0,1.0,15.0,0.5,2.0
104,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
105,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
106,4.0,5.0,11.0,5.0,2.0,2.0,1.0,15.0,0.8,2.0
107,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,1.0
108,4.0,5.0,11.0,5.0,2.0,2.0,1.0,15.0,0.8,2.0
109,4.0,5.0,12.0,5.0,1.0,3.0,1.0,15.0,0.5,2.0
110,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,1.0
111,4.0,5.0,12.0,5.0,1.0,3.0,1.0,15.0,0.5,2.0
112,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
113,4.0,5.0,10.0,5.0,6.0,1.0,1.0,15.0,0.2,1.0
114,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,2.0
115,4.0,5.0,13.0,5.0,5.0,4.0,2.0,13.0,0.8,2.0
116,4.0,5.0,14.0,5.0,4.0,5.0,2.0,13.0,0.5,1.0
